he	O
can	O
be	O
sent	O
back	O
to	O
prison	O
.	O
The	O
AP	B-org
also	O
reports	O
Khayam	B-per
has	O
been	O
on	O
parole	O
from	O
prison	O
since	O
last	O
year	O
after	O
serving	O
half	O
his	O
six-year	O
sentence	O
for	O
drug	O
dealing	O
.	O
Pakistani	B-gpe
officials	O
say	O
unidentified	O
gunmen	O
have	O
killed	O
three	O
people	O
,	O
including	O
a	O
former	O
government	O
minister	O
,	O
in	O
a	O
semi-autonomous	O
tribal	O
region	O
bordering	O
Afghanistan	B-geo
.	O
The	O
officials	O
say	O
prominent	O
tribal	O
leader	O
Malik	B-per
Faridullah	I-per
Khan	I-per
was	O
traveling	O
in	O
South	B-geo
Waziristan	I-geo
Sunday	B-time
when	O
his	O
vehicle	O
was	O
ambushed	O
in	O
the	O
Kani	B-geo
Wam	I-geo
area	O
.	O
His	O
driver	O
and	O
a	O
tribal	O
elder	O
were	O
also	O
killed	O
.	O
No	O
one	O
has	O
claimed	O
responsibility	O
for	O
the	O
killings	O
.	O
The	O
ambush	O
came	O
a	O
day	O
after	O
a	O
commander	O
of	O
Pakistani	B-gpe
troops	O
said	O
the	O
army	O
has	O
almost	O
completely	O
eliminated	O
militants	O
in	O
South	B-geo
Waziristan	I-geo
.	O
The	O
area	O
became	O
a	O
refuge	O
for	O
many	O
al-Qaida	B-org
and	O
Taleban	B-org
fighters	O
after	O
the	O
Taleban	B-org
government	O
was	O
ousted	O
in	O
Afghanistan	B-geo
in	O
2001	B-time
.	O
A	O
senior	O
Pakistani	B-gpe
military	O
official	O
says	O
Pakistan	B-gpe
wants	O
to	O
put	O
what	O
he	O
calls	O
the	O
sordid	O
chapter	O
of	O
proliferation	O
by	O
one	O
of	O
its	O
top	O
scientists	O
behind	O
it	O
and	O
build	O
civilian	O
nuclear	O
ties	O
with	O
the	O
United	B-gpe
States	I-gpe
.	O
But	O
he	O
says	O
Pakistan	B-gpe
is	O
not	O
ready	O
to	O
make	O
the	O
nuclear	O
scientist	O
,	O
Abdul	B-per
Qadeer	I-per
Khan	I-per
,	O
available	O
for	O
direct	O
questioning	O
over	O
his	O
sale	O
of	O
nuclear	O
parts	O
and	O
secrets	O
to	O
states	O
including	O
Iran	B-gpe
,	O
Libya	B-gpe
and	O
North	B-gpe
Korea	I-gpe
.	O
He	O
said	O
there	O
are	O
reasons	O
of	O
national	O
sensitivities	O
for	O
not	O
making	O
him	O
available	O
.	O
The	O
Pakistani	B-gpe
official	O
was	O
giving	O
a	O
background	O
briefing	O
to	O
a	O
small	O
group	O
of	O
reporters	O
in	O
Washington	B-geo
.	O
Khan	B-per
admitted	O
in	O
2004	B-time
that	O
he	O
operated	O
a	O
worldwide	O
clandestine	O
network	O
to	O
sell	O
nuclear	O
technology	O
in	O
the	O
black	O
market	O
.	O
He	O
was	O
placed	O
under	O
house	O
arrest	O
in	O
Islamabad	B-geo
,	O
but	O
not	O
jailed	O
because	O
he	O
is	O
considered	O
the	O
father	O
of	O
Pakistan	B-geo
's	O
nuclear	O
bomb	O
.	O
U.S.	B-gpe
Army	B-org
officials	O
said	O
Wednesday	B-time
that	O
they	O
will	O
not	O
renew	O
a	O
controversial	O
multi-billion	O
dollar	O
contract	O
with	O
the	O
Halliburton	B-org
company	O
to	O
provide	O
logistical	O
support	O
to	O
U.S.	B-gpe
troops	O
in	O
Iraq	B-geo
and	O
elsewhere	O
.	O
Halliburton	B-org
has	O
been	O
providing	O
a	O
long	O
list	O
of	O
services	O
,	O
from	O
meals	O
to	O
communication	O
,	O
for	O
the	O
military	O
for	O
several	O
years	O
.	O
Critics	O
of	O
Halliburton	B-org
include	O
auditors	O
and	O
congressional	O
Democrats	O
.	O
They	O
say	O
the	O
company	O
has	O
produced	O
some	O
shoddy	O
work	O
and	O
charges	O
too	O
much	O
money	O
.	O
The	O
company	O
strongly	O
denies	O
the	O
allegations	O
.	O
When	O
the	O
huge	O
contract	O
is	O
put	O
out	O
for	O
re-bidding	O
,	O
several	O
companies	O
will	O
get	O
a	O
chance	O
to	O
compete	O
for	O
portions	O
of	O
the	O
work	O
.	O
Representatives	O
from	O
the	O
Asia	B-org
Pacific	I-org
Economic	I-org
Cooperation	I-org
Business	I-org
Advisory	I-org
Council	I-org
are	O
holding	O
meetings	O
this	O
week	O
to	O
finalize	O
their	O
annual	O
report	O
for	O
APEC	B-org
leaders	O
who	O
will	O
hold	O
a	O
summit	O
on	O
September	B-time
8	I-time
and	O
9	B-time
.	O
VOA	B-org
's	O
Nancy-Amelia	B-per
Collins	I-per
reports	O
from	O
Sydney	B-geo
.	O
Energy	O
,	O
security	O
,	O
climate	O
change	O
,	O
the	O
World	B-org
Trade	I-org
Organization	I-org
's	O
stalled	O
negotiations	O
,	O
and	O
investment	O
are	O
all	O
expected	O
to	O
be	O
among	O
the	O
major	O
topics	O
in	O
the	O
annual	O
report	O
of	O
the	O
APEC	B-org
Business	I-org
Advisory	I-org
Council	I-org
,	O
known	O
as	O
ABAC	B-org
.	O
Tim	B-per
Harcourt	I-per
,	O
the	O
chief	O
economist	O
of	O
the	O
Australian	B-org
Trade	I-org
Commission	I-org
,	O
says	O
ABAC	B-org
plays	O
an	O
important	O
role	O
by	O
informing	O
governments	O
where	O
there	O
are	O
problems	O
.	O
The	O
most	O
important	O
thing	O
the	O
business	O
groups	O
can	O
do	O
is	O
to	O
tell	O
the	O
governments	O
where	O
there	O
are	O
logjams	O
,	O
where	O
there	O
are	O
obstacles	O
,	O
where	O
things	O
can	O
improve	O
,	O
Harcourt	B-per
said	O
.	O
I	O
think	O
actually	O
ABAC	B-org
has	O
played	O
a	O
pretty	O
good	O
leadership	O
on	O
that	O
in	O
talking	O
about	O
trade	O
facilitation	O
and	O
basically	O
making	O
sure	O
standards	O
are	O
consistent	O
and	O
harmonious	O
across	O
the	O
region	O
.	O
ABAC	B-org
comprises	O
up	O
to	O
three	O
members	O
of	O
the	O
private	O
sector	O
of	O
each	O
of	O
the	O
21	O
economies	O
that	O
make	O
up	O
APEC	B-org
.	O
It	O
meets	O
three	O
times	O
a	O
year	O
.	O
It	O
was	O
made	O
a	O
permanent	O
body	O
in	O
1995	B-time
to	O
provide	O
an	O
independent	O
business	O
perspective	O
within	O
APEC	B-org
.	O
Members	O
represent	O
a	O
range	O
of	O
business	O
sectors	O
,	O
including	O
medium	O
and	O
small	O
businesses	O
.	O
ABAC	B-org
says	O
there	O
is	O
a	O
need	O
for	O
businesses	O
to	O
improve	O
energy	O
efficiency	O
and	O
to	O
encourage	O
conservation	O
practices	O
,	O
and	O
is	O
expected	O
to	O
include	O
this	O
in	O
its	O
annual	O
report	O
.	O
Harcourt	B-per
,	O
of	O
the	O
Australian	B-org
Trade	I-org
Commission	I-org
,	O
says	O
the	O
ABAC	B-org
report	O
will	O
also	O
discuss	O
ways	O
to	O
enhance	O
regional	O
cooperation	O
.	O
I	O
reckon	O
they	O
'll	O
